	驮	dou2	㊀拿。
	填路	dian2 lu6
	捉	ciok7	㊀抓，捉拿。㊁捡东西。㊂收拾。
	捉拾	ciok7 jih8	㊀收拾，整理。
	啄	tuk7	㊀轻轻敲击。㊁拟声词。
	拣	kan3	㊀拣择，挑选。
	拔	bah8	㊀抽，拉。㊁拿出。㊂抓，捉拿。
	拔刀	bah8 tao1
	刀拔出	tao1 bah8 chv9
	拔牙齿	bah8 ngo2 chy3
	拔钞票	bah8 chao3 phiao5
	拔肚	bah8 du4
	拔小人	bah8 xiao3 nin9
	拔小偷	bah8 xiao3 theo9
	拔贼	bah8 zeh8
	贼拔牢	zeh8 bah8 lao2
	拔电线	bah8 dian6 xian5
	旋	jion6	㊀拧，扭动，转动。㊁欺骗。㊂转悠。
	旋头圈	jion6 deo2 khion9
	旋小人	jion6 xiao3 nin9
	旋尔	jion6 nh9
	旋我	jion6 nko9
	旋佢	jion6 gei9
	搣	mhiah7	㊀搓捻。
	搣开关	mhiah7 khei1 kuan1
	挤	ci3
	挤牙膏	ci3 ngo2 kao1
	挤奶	ci3 nha1
	㪗	theo3	㊀展开，舒展。
	敨气	theo3 khi5
	配	phei3	㊀仔细翻找。
	耖	chao5	㊀胡乱翻找。
	分	fen1
	分分	fen1 fen9	㊀分享。
	剥	pok7	㊀去掉外皮或壳。㊁搜刮掠夺。
	剥橘ㄦ	pok7 kvn9
	剥皮鱼	pok7 bi2 ng2
	剥花生	pok7 huo1 sang1
	剥炒豆	pok7 chao3 deo6
	剥削	pok7 xiak7
	斩	can3	㊀使部分东西斩出。
	抽	chieo1	㊀吸收（水分、温度）：𠏕弹leh地di去，慢抽爻无用。
	扯	chei3	㊀撕扯。
	派	pha1	㊀派发，分配。
	派任务	pha1 jin6 vu6
	抟	don2
	抟纸团	don2 cy3 don9
	理	lhi3	㊀整理。
	㧕	lhieo3	㊀旋转搅捣。
	㧕鸟窠	lhieo3 tiao3 khu9
	㧕洞	lhieo3 dung6
	搂	lheo1	㊀抠，挖。
	搂耳朵	lheo1 nk3 thou9
	搂鼻头	lheo1 beh8 deo9
	搂鼻头屙	lheo1 beh8 deo2 ei5
	搂鼻头屙	lheo1 beh8 deo2 ou5
	攮	nhong3	㊀用力扎进，刺进，伸进。
	搭	tah7	㊀支，架：棚~起。㊁共享，分享。
	搭搭ㄦ	tah7 tan9
	搭搭吃ㄦ	tah7 tah7 khiung9
	搭搭用	tah7 tah7 yung9
	搭搭隐	tah7 tah7 in9
	拌	bon4	㊀搅拌。
	拌水泥	bon2 xv3 ni2
	洒	sa3	㊀泼洒。
	着	ciak7	㊀锅中放水：烧滚爻水~眼落去。㊁放下：我搭佢lei㙮ㄦ~象棋。
	收	xieo1	㊀收回：衣裳收转来，凉伞收爻。
	收衣裳	xieo1 i1 zong2
	收凉伞	xieo1 liang2 san5
	收阳伞	xieo1 yang2 san5
	收被	xieo1 bi4
	收洋袜	xieo1 yang2 mah8
	拦	lan2	㊀阻拦。
	咣	guang6	㊀大力关门。
	咣门	guang6 men2
	门咣	men2 guang6
	咣来	guang6 lei2
	门咣来	men2 guang6 lei2
	咣响	guang6 hiang9
	ang	ang1	㊀弯折。
	ang刀	ang1 tao9
	碰	bang6	㊀遇见。
	缉	chih7	㊀编织。
	缉毛线衫	chih7 mao2 xian5 san9
	缉衣裳	chih7 i1 zong2
	缉鞋	chih7 ra2
	缉围巾	chih7 yv2 kin1
	缉帽碗	chih7 mao6 uon9
	扛	kong1	㊀抬。
	扛扛	kong1 kong9
	扛物事	kong1 meh8 zy6
1	扛leh动	kong1 leh8 dung4
1	扛弗动	kong1 feh7 dung4
